job_name,company_name,salary_low,salary_high,location,experience,education,company_size,industry,description
数据运营,智联科技,8,15,福田区,1-3年,本科,100-499人,制造,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Spark、统计分析、爬虫、NumPy、PowerBI。
数据产品经理,深蓝信息,15,28,龙岗区,1-3年,本科,100-499人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 爬虫、FineBI。
数据产品经理,比亚迪,14,22,盐田区,1-3年,本科,100-499人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Excel、爬虫、Hive。
数据分析师,极光智能,12,16,宝安区,1-3年,本科,20-99人,电子商务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 SQL、机器学习。
数据挖掘工程师,华为技术,9,16,盐田区,1-3年,本科,20-99人,物流,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 MySQL、统计分析、机器学习、NumPy、Python。
商业分析,招商银行,6,17,龙岗区,3-5年,本科,100-499人,制造,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Pandas、A/B测试、NumPy。
BI分析师,比亚迪,9,13,盐田区,1-3年,本科,100-499人,教育,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Tableau、MySQL、A/B测试、数据挖掘、机器学习。
数据挖掘工程师,华润置地,9,19,盐田区,1-3年,本科,20-99人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 机器学习、数据挖掘、Spark、ETL。
数据分析实习生,招商银行,6,12,光明区,1-3年,本科,20-99人,制造,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Spark、ETL、A/B测试、可视化、SQL。
数据挖掘工程师,万科集团,13,21,南山区,3-5年,本科,100-499人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Hadoop、爬虫。
数据产品经理,云帆数据,12,20,坪山区,3-5年,硕士,100-499人,通信,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 可视化、MySQL、Python、统计分析。
数据分析实习生,极光智能,12,21,盐田区,3-5年,博士,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据仓库、FineBI、Python、Excel、可视化。
数据分析师,顺丰速运,13,19,光明区,经验不限,本科,100-499人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、可视化、FineBI、Excel、MySQL。
数据运营,招商银行,14,18,福田区,3-5年,本科,1000-9999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 PowerBI、Python、NumPy。
数据分析师,万科集团,12,21,宝安区,1-3年,本科,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Tableau、爬虫。
BI分析师,智联科技,10,20,光明区,1-3年,本科,20-99人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Pandas、爬虫、FineBI。
数据分析师,比亚迪,9,15,坪山区,1-3年,本科,100-499人,教育,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Python、可视化、MySQL、Pandas。
数据挖掘工程师,中兴通讯,14,28,龙岗区,1-3年,本科,10000人以上,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、ETL、MySQL、A/B测试。
数据运营,极光智能,16,25,宝安区,3-5年,大专,1000-9999人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、数据仓库、统计分析。
数据运营,平安科技,12,22,盐田区,经验不限,本科,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 ETL、Python、Hive、PowerBI。
BI分析师,星辰互联网,13,21,宝安区,1-3年,本科,100-499人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Excel、爬虫。
数据产品经理,万科集团,10,18,龙华区,1-3年,本科,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Hadoop、A/B测试、数据挖掘、爬虫。
数据分析实习生,比亚迪,9,21,福田区,1-3年,硕士,500-999人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 PowerBI、MySQL、数据挖掘。
数据运营,华为技术,13,20,宝安区,经验不限,本科,100-499人,通信,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、SQL、数据仓库。
数据挖掘工程师,星辰互联网,14,31,盐田区,应届生,大专,100-499人,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、Spark、Tableau、SQL、数据挖掘。
数据挖掘工程师,华为技术,9,11,光明区,1-3年,本科,500-999人,制造,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 NumPy、数据仓库、爬虫。
BI分析师,星辰互联网,11,18,光明区,1-3年,本科,20-99人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、FineBI、爬虫、可视化、ETL。
数据产品经理,华为技术,13,30,宝安区,1-3年,本科,20-99人,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Tableau、ETL、Excel。
数据产品经理,万科集团,13,21,盐田区,经验不限,本科,1000-9999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Excel、机器学习、数据挖掘、PowerBI、可视化。
数据分析实习生,深蓝信息,11,23,罗湖区,3-5年,大专,20-99人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、数据仓库、爬虫、A/B测试。
商业分析,顺丰速运,12,23,坪山区,1-3年,本科,500-999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Spark、数据挖掘、Python、Excel、机器学习。
数据分析师,星辰互联网,9,14,罗湖区,1-3年,本科,20-99人,物流,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、Tableau、可视化、MySQL、Excel。
数据运营,智联科技,15,25,福田区,3-5年,本科,500-999人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 统计分析、ETL、SQL、A/B测试。
数据分析师,星辰互联网,12,20,光明区,3-5年,硕士,0-20人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 可视化、SQL、PowerBI、Hive、Hadoop。
商业分析,星辰互联网,11,19,南山区,经验不限,本科,10000人以上,电子商务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 MySQL、Pandas、Python、机器学习、Tableau。
商业分析,华为技术,9,20,宝安区,5-10年,硕士,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 NumPy、MySQL。
数据产品经理,顺丰速运,8,15,光明区,3-5年,博士,20-99人,制造,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 统计分析、PowerBI、Hive。
数据分析师,顺丰速运,10,22,光明区,经验不限,本科,100-499人,通信,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 爬虫、FineBI。
商业分析,极光智能,11,18,龙岗区,1-3年,本科,100-499人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、Spark、PowerBI、机器学习、统计分析。
数据运营,云帆数据,12,16,盐田区,1-3年,硕士,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 MySQL、SQL、NumPy。
数据挖掘工程师,华为技术,16,25,盐田区,应届生,硕士,0-20人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 可视化、NumPy、Excel。
BI分析师,云帆数据,14,25,光明区,1-3年,硕士,1000-9999人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Spark、MySQL、ETL、SQL、Excel。
数据产品经理,华为技术,11,17,光明区,5-10年,本科,1000-9999人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、Tableau。
数据运营,星辰互联网,8,14,南山区,经验不限,本科,20-99人,电子商务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据仓库、Tableau、FineBI、ETL、Excel。
数据产品经理,招商银行,16,30,盐田区,3-5年,大专,100-499人,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、数据挖掘、Python、FineBI。
数据分析师,中兴通讯,10,12,龙华区,5-10年,本科,10000人以上,制造,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、爬虫、PowerBI、统计分析。
商业分析,万科集团,7,14,龙华区,1-3年,博士,100-499人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、Python、SQL、MySQL、爬虫。
数据挖掘工程师,比亚迪,6,13,宝安区,1-3年,本科,500-999人,教育,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Pandas、SQL、爬虫。
数据运营,云帆数据,5,13,龙岗区,应届生,本科,1000-9999人,教育,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 PowerBI、NumPy、ETL。
BI分析师,深蓝信息,9,17,罗湖区,3-5年,本科,1000-9999人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 爬虫、Spark、Pandas、A/B测试、Excel。
数据产品经理,云帆数据,11,24,光明区,5-10年,硕士,100-499人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Python、数据挖掘、ETL、Pandas、A/B测试。
商业分析,极光智能,11,20,龙华区,应届生,本科,0-20人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、机器学习、Excel、A/B测试。
商业分析,华为技术,8,16,龙岗区,应届生,大专,10000人以上,制造,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Pandas、机器学习。
商业分析,比亚迪,8,16,坪山区,1-3年,本科,20-99人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Pandas、MySQL、可视化、数据挖掘、SQL。
商业分析,招商银行,9,17,龙华区,应届生,本科,100-499人,电子商务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 SQL、统计分析、数据挖掘、PowerBI。
数据产品经理,招商银行,8,10,南山区,应届生,本科,10000人以上,物流,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Excel、ETL、PowerBI。
数据挖掘工程师,平安科技,14,28,南山区,经验不限,博士,10000人以上,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Tableau、Pandas、Python、NumPy。
数据运营,腾讯科技,11,22,龙岗区,经验不限,大专,100-499人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Excel、MySQL。
BI分析师,华为技术,14,27,盐田区,1-3年,硕士,0-20人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、Python、SQL、MySQL。
数据分析师,中兴通讯,10,18,盐田区,应届生,大专,500-999人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 NumPy、数据挖掘。
数据产品经理,比亚迪,12,18,光明区,5-10年,本科,100-499人,电子商务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Pandas、FineBI、ETL、PowerBI、可视化。
数据运营,极光智能,13,26,盐田区,1-3年,本科,100-499人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、Hadoop、NumPy、MySQL。
商业分析,华为技术,10,18,龙华区,3-5年,本科,500-999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Pandas、可视化、Hadoop、数据仓库。
BI分析师,顺丰速运,7,15,龙华区,应届生,本科,20-99人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 机器学习、Pandas、Hadoop、ETL、数据仓库。
数据挖掘工程师,大疆创新,13,17,坪山区,5-10年,硕士,500-999人,通信,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、数据挖掘。
数据挖掘工程师,顺丰速运,12,23,龙华区,1-3年,本科,20-99人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Excel、NumPy、Python、FineBI、PowerBI。
数据分析实习生,比亚迪,15,25,罗湖区,1-3年,本科,500-999人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 SQL、NumPy。
数据产品经理,华为技术,14,18,罗湖区,1-3年,本科,500-999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、PowerBI、Hive、Pandas、Hadoop。
数据产品经理,万科集团,14,28,盐田区,1-3年,本科,20-99人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Python、PowerBI。
数据分析实习生,星辰互联网,10,22,罗湖区,经验不限,大专,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Tableau、NumPy、统计分析、机器学习、Hadoop。
数据分析师,中兴通讯,10,21,福田区,3-5年,本科,500-999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 爬虫、Pandas、统计分析、Python、Spark。
数据挖掘工程师,云帆数据,14,21,龙华区,应届生,硕士,20-99人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Hive、Excel、统计分析、爬虫、Spark。
BI分析师,智联科技,10,16,福田区,1-3年,本科,1000-9999人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 NumPy、机器学习、Pandas、FineBI。
数据分析实习生,星辰互联网,10,20,福田区,应届生,本科,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据仓库、Spark、FineBI、NumPy、A/B测试。
数据运营,星辰互联网,13,23,罗湖区,1-3年,本科,20-99人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、SQL、数据仓库、Hadoop、爬虫。
BI分析师,华润置地,10,22,光明区,1-3年,本科,1000-9999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、数据仓库。
商业分析,华润置地,10,18,龙岗区,5-10年,本科,1000-9999人,电子商务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Excel、Hive、Tableau、SQL。
BI分析师,华润置地,12,19,龙岗区,1-3年,硕士,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、SQL、Spark、Excel。
商业分析,顺丰速运,13,21,罗湖区,1-3年,本科,10000人以上,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Spark、Excel、NumPy。
数据产品经理,智联科技,8,16,光明区,应届生,本科,20-99人,制造,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Spark、NumPy、Hive、Excel、可视化。
数据运营,平安科技,12,25,宝安区,经验不限,本科,20-99人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 NumPy、Excel、爬虫。
数据挖掘工程师,华润置地,7,17,坪山区,应届生,本科,1000-9999人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、统计分析、NumPy。
数据分析实习生,云帆数据,14,24,盐田区,应届生,本科,1000-9999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 FineBI、爬虫、A/B测试、机器学习、Hive。
数据分析实习生,比亚迪,12,22,盐田区,1-3年,本科,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Tableau、PowerBI、NumPy、数据挖掘、SQL。
数据分析师,云帆数据,10,18,坪山区,3-5年,本科,1000-9999人,电子商务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、Hive、NumPy、可视化。
商业分析,深蓝信息,11,24,龙华区,5-10年,本科,100-499人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 机器学习、统计分析、Excel、Hadoop。
数据挖掘工程师,云帆数据,11,16,龙华区,3-5年,大专,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 NumPy、MySQL、A/B测试、Python、Excel。
数据分析实习生,华润置地,11,24,坪山区,1-3年,本科,20-99人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 SQL、机器学习。
数据分析师,华为技术,16,26,盐田区,1-3年,大专,100-499人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 NumPy、爬虫、可视化。
BI分析师,大疆创新,12,19,龙岗区,1-3年,大专,10000人以上,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Hive、ETL。
数据分析师,大疆创新,16,27,盐田区,应届生,本科,100-499人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Hadoop、Excel。
BI分析师,云帆数据,9,22,龙华区,应届生,本科,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、MySQL、Tableau。
数据挖掘工程师,中兴通讯,5,14,南山区,经验不限,大专,20-99人,教育,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Spark、爬虫。
数据运营,腾讯科技,17,29,宝安区,经验不限,硕士,0-20人,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、Pandas、Hadoop、可视化。
数据运营,平安科技,10,16,盐田区,1-3年,本科,1000-9999人,医疗健康,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Excel、可视化、FineBI、数据仓库。
数据运营,比亚迪,14,30,福田区,应届生,本科,100-499人,人工智能,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Tableau、A/B测试、Hadoop、数据仓库、SQL。
商业分析,顺丰速运,11,20,南山区,应届生,本科,100-499人,通信,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Python、NumPy、A/B测试。
数据挖掘工程师,智联科技,10,19,龙华区,1-3年,硕士,0-20人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、Hadoop、数据仓库。
数据分析实习生,华润置地,12,27,龙华区,1-3年,本科,20-99人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Python、Tableau。
数据分析师,顺丰速运,15,27,罗湖区,1-3年,本科,500-999人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 PowerBI、Pandas、NumPy、Excel、A/B测试。
数据挖掘工程师,智联科技,13,18,龙华区,1-3年,本科,100-499人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 爬虫、Tableau、数据仓库、Hadoop。
数据挖掘工程师,平安科技,12,24,宝安区,3-5年,大专,500-999人,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 A/B测试、ETL、NumPy、Excel。
数据产品经理,中兴通讯,13,23,坪山区,1-3年,本科,500-999人,互联网,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Spark、Excel、A/B测试。
数据分析实习生,深蓝信息,16,25,坪山区,1-3年,本科,10000人以上,金融,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 Hive、SQL、Pandas、FineBI、NumPy。
数据产品经理,招商银行,10,18,龙华区,5-10年,本科,100-499人,软件服务,负责业务数据的采集与清洗，输出分析报告与数据看板，支撑运营决策。 要求熟练使用 数据挖掘、PowerBI。
